住所,店舗名,募集日
['埼玉県桶川市大字川田谷３２１２−１'],['セブンイレブン桶川川田谷店'],['2021年04月01日（木）13:00〜17:00（実働04時間00分）']
['埼玉県桶川市大字川田谷３２１２−１'],['セブンイレブン桶川川田谷店'],['2021年04月06日（火）13:00〜17:00（実働04時間00分）']
['埼玉県桶川市大字川田谷３２１２−１'],['セブンイレブン桶川川田谷店'],['2021年04月08日（木）13:00〜17:00（実働04時間00分）']
['茨城県つくば市稲荷前２２−７'],['セブンイレブンつくば稲荷前店'],['2021年03月25日（木）19:00〜22:00（実働03時間00分）']
['東京都中野区中央2丁目1−8'],['セブンイレブン中野坂上駅前店'],['2021年03月27日（土）08:00〜13:00（実働04時間45分）']
['東京都大田区中央８丁目２８−４'],['セブンイレブン大田区中央8丁目店'],['2021年03月25日（木）22:00〜06:00（実働07時間00分）']
['大阪府大阪市東住吉区杭全５丁目１２－４'],['セブンイレブン大阪杭全５丁目店'],['2021年03月27日（土）22:00〜06:00（実働07時間15分）']
['東京都台東区蔵前３丁目13番12号'],['セブンイレブン台東蔵前３丁目店'],['2021年03月27日（土）17:00〜22:00（実働05時間00分）']
['東京都台東区蔵前３丁目13番12号'],['セブンイレブン台東蔵前３丁目店'],['2021年03月29日（月）08:00〜13:00（実働05時間00分）']
['東京都台東区蔵前３丁目13番12号'],['セブンイレブン台東蔵前３丁目店'],['2021年03月29日（月）13:00〜17:00（実働04時間00分）']
